# theta(rad)  log10(N_S)  adv_dB
0.104720  0.291667  1.44911027
0.104720  0.333333  1.47241774
0.104720  0.375000  1.49425913
0.104720  0.416667  1.51467762
0.104720  0.458333  1.53372313
0.104720  0.500000  1.55145080
0.104720  0.541667  1.56791965
0.104720  0.583333  1.58319136
0.104720  0.625000  1.59732912
0.104720  0.666667  1.61039674
0.104720  0.708333  1.62245782
0.104720  0.750000  1.63357508
0.104720  0.791667  1.64380981
0.104720  0.833333  1.65322140
0.104720  0.875000  1.66186707
0.104720  0.916667  1.66980155
0.104720  0.958333  1.67707695
0.104720  1.000000  1.68374265
0.104720  1.041667  1.68984524
0.104720  1.083333  1.69542852
0.104720  1.125000  1.70053352
0.104720  1.166667  1.70519857
0.104720  1.208333  1.70945938
0.104720  1.250000  1.71334914
0.104720  1.291667  1.71689864
0.104720  1.333333  1.72013636
0.104720  1.375000  1.72308863
0.104720  1.416667  1.72577973
0.104720  1.458333  1.72823204
0.104720  1.500000  1.73046614
0.104720  1.541667  1.73250093
0.104720  1.583333  1.73435379
0.104720  1.625000  1.73604062
0.104720  1.666667  1.73757603
0.104720  1.708333  1.73897336
0.104720  1.750000  1.74024483
0.104720  1.791667  1.74140163
0.104720  1.833333  1.74245395
0.104720  1.875000  1.74341111
0.104720  1.916667  1.74428164
0.104720  1.958333  1.74507330
0.104720  2.000000  1.74579316

0.157080  -3.000000  0.00427881
0.157080  -2.958333  0.00470848
0.157080  -2.916667  0.00518117
0.157080  -2.875000  0.00570115
0.157080  -2.833333  0.00627313
0.157080  -2.791667  0.00690226
0.157080  -2.750000  0.00759421
0.157080  -2.708333  0.00835519
0.157080  -2.666667  0.00919201
0.157080  -2.625000  0.01011215
0.157080  -2.583333  0.01112380
0.157080  -2.541667  0.01223594
0.157080  -2.500000  0.01345839
0.157080  -2.458333  0.01480191
0.157080  -2.416667  0.01627827
0.157080  -2.375000  0.01790035
0.157080  -2.333333  0.01968219
0.157080  -2.291667  0.02163914
0.157080  -2.250000  0.02378796
0.157080  -2.208333  0.02614687
0.157080  -2.166667  0.02873574
0.157080  -2.125000  0.03157616
0.157080  -2.083333  0.03469160
0.157080  -2.041667  0.03810749
0.157080  -2.000000  0.04185138
0.157080  -1.958333  0.04595306
0.157080  -1.916667  0.05044466
0.157080  -1.875000  0.05536078
0.157080  -1.833333  0.06073861
0.157080  -1.791667  0.06661798
0.157080  -1.750000  0.07304146
0.157080  -1.708333  0.08005438
0.157080  -1.666667  0.08770487
0.157080  -1.625000  0.09604378
0.157080  -1.583333  0.10512463
0.157080  -1.541667  0.11500345
0.157080  -1.500000  0.12573858
0.157080  -1.458333  0.13739034
0.157080  -1.416667  0.15002063
0.157080  -1.375000  0.16369247
0.157080  -1.333333  0.17846932
0.157080  -1.291667  0.19441434
0.157080  -1.250000  0.21158953
0.157080  -1.208333  0.23005465
0.157080  -1.166667  0.24986605
0.157080  -1.125000  0.27107541
0.157080  -1.083333  0.29372821
0.157080  -1.041667  0.31786228
0.157080  -1.000000  0.34350612
0.157080  -0.958333  0.37067729
0.157080  -0.916667  0.39938072
0.157080  -0.875000  0.42960723
0.157080  -0.833333  0.46133203
0.157080  -0.791667  0.49451355
0.157080  -0.750000  0.52909250
0.157080  -0.708333  0.56499134
0.157080  -0.666667  0.60211407
0.157080  -0.625000  0.64034666
0.157080  -0.583333  0.67955784
0.157080  -0.541667  0.71960048
0.157080  -0.500000  0.76031355
0.157080  -0.458333  0.80152444
0.157080  -0.416667  0.84305176
0.157080  -0.375000  0.88470850
0.157080  -0.333333  0.92630527
0.157080  -0.291667  0.96765381
0.157080  -0.250000  1.00857028
0.157080  -0.208333  1.04887850
0.157080  -0.166667  1.08841290
0.157080  -0.125000  1.12702098
0.157080  -0.083333  1.16456548
0.157080  -0.041667  1.20092589
0.157080  0.000000  1.23599954
0.157080  0.041667  1.26970209
0.157080  0.083333  1.30196760
0.157080  0.125000  1.33274807
0.157080  0.166667  1.36201269
0.157080  0.208333  1.38974670
0.157080  0.250000  1.41595001
0.157080  0.291667  1.44063575
0.157080  0.333333  1.46382859
0.157080  0.375000  1.48556312
0.157080  0.416667  1.50588219
0.157080  0.458333  1.52483538
0.157080  0.500000  1.54247748
0.157080  0.541667  1.55886715
0.157080  0.583333  1.57406569
0.157080  0.625000  1.58813595
0.157080  0.666667  1.60114138
0.157080  0.708333  1.61314522
0.157080  0.750000  1.62420986
0.157080  0.791667  1.63439626
0.157080  0.833333  1.64376352
0.157080  0.875000  1.65236854
0.157080  0.916667  1.66026578
